value,datetime,datetime_utc,tz_time,geo_id,geo_name
7374.0,2025-09-30 00:00:00+02:00,2025-09-29T22:00:00Z,2025-09-29T22:00:00.000Z,8741,Península
7260.0,2025-09-30 00:15:00+02:00,2025-09-29T22:15:00Z,2025-09-29T22:15:00.000Z,8741,Península
7142.0,2025-09-30 00:30:00+02:00,2025-09-29T22:30:00Z,2025-09-29T22:30:00.000Z,8741,Península
7020.0,2025-09-30 00:45:00+02:00,2025-09-29T22:45:00Z,2025-09-29T22:45:00.000Z,8741,Península
7117.0,2025-09-30 01:00:00+02:00,2025-09-29T23:00:00Z,2025-09-29T23:00:00.000Z,8741,Península
6988.0,2025-09-30 01:15:00+02:00,2025-09-29T23:15:00Z,2025-09-29T23:15:00.000Z,8741,Península
6857.0,2025-09-30 01:30:00+02:00,2025-09-29T23:30:00Z,2025-09-29T23:30:00.000Z,8741,Península
6725.0,2025-09-30 01:45:00+02:00,2025-09-29T23:45:00Z,2025-09-29T23:45:00.000Z,8741,Península
6925.0,2025-09-30 02:00:00+02:00,2025-09-30T00:00:00Z,2025-09-30T00:00:00.000Z,8741,Península
6787.0,2025-09-30 02:15:00+02:00,2025-09-30T00:15:00Z,2025-09-30T00:15:00.000Z,8741,Península
6652.0,2025-09-30 02:30:00+02:00,2025-09-30T00:30:00Z,2025-09-30T00:30:00.000Z,8741,Península
6519.0,2025-09-30 02:45:00+02:00,2025-09-30T00:45:00Z,2025-09-30T00:45:00.000Z,8741,Península
6508.0,2025-09-30 03:00:00+02:00,2025-09-30T01:00:00Z,2025-09-30T01:00:00.000Z,8741,Península
6373.0,2025-09-30 03:15:00+02:00,2025-09-30T01:15:00Z,2025-09-30T01:15:00.000Z,8741,Península
6241.0,2025-09-30 03:30:00+02:00,2025-09-30T01:30:00Z,2025-09-30T01:30:00.000Z,8741,Península
6113.0,2025-09-30 03:45:00+02:00,2025-09-30T01:45:00Z,2025-09-30T01:45:00.000Z,8741,Península
5927.0,2025-09-30 04:00:00+02:00,2025-09-30T02:00:00Z,2025-09-30T02:00:00.000Z,8741,Península
5817.0,2025-09-30 04:15:00+02:00,2025-09-30T02:15:00Z,2025-09-30T02:15:00.000Z,8741,Península
